decimalLatitude,decimalLongitude,season
-32,115.8,Autumn: March-May
-30.156817,153.205955,Spring: September-November
-33.79977,151.285473,Summer: December-February
-32,115.5,Spring: September-November
-22,113.9,Winter: June-August
-32,115.5,Spring: September-November
-32,115.5,Spring: September-November
-36.051909,150.141649,Spring: September-November
-32,115.5,Spring: September-November
-32,115.5,Spring: September-November
-27.7,114.1,Spring: September-November
-37.058824,149.911391,Summer: December-February
-35.1,118,Winter: June-August
-32.326524,115.230469,Spring: September-November
-28.513314,153.689283,Winter: June-August
-20.8,116.8,Winter: June-August
-33.909674,151.269357,Winter: June-August
-16.1,123.6,Winter: June-August
-30.8,115.2,Spring: September-November
-32,115.5,Spring: September-November
-16.1,123.6,Spring: September-November
-33.513849,114.796509,Spring: September-November
-32,115.4,Spring: September-November
-16.1,123.6,Winter: June-August
-37.834102,144.98252,Autumn: March-May
-32,115.5,Spring: September-November
-33.84194,151.293755,Winter: June-August
-32,115.5,Spring: September-November
-32,115.5,Autumn: March-May
-22.2,113.8,Spring: September-November
-30.110955,153.210923,Winter: June-August
-32,115.5,Spring: September-November
-33.842416,151.306101,Spring: September-November
-36.885045,149.938339,Winter: June-August
-31.8,115.7,Autumn: March-May
-31.90353,115.583102,Spring: September-November
-22,113.9,Spring: September-November
-37.076615,149.912075,Winter: June-August
-26.1,113.1,Spring: September-November
-22,114.3,Spring: September-November
-21.8,114.2,Winter: June-August
-33.5,115,Spring: September-November
-32.430578,152.535747,Spring: September-November
-33.5,115,Spring: September-November
-16.1,123.6,Winter: June-August
-31.3,115.7,Spring: September-November
-27.8,114.1,Spring: September-November
-26.40519,153.112415,Winter: June-August
-33.566382,115.336229,Spring: September-November
-34.08392,151.151583,Winter: June-August
-21.8,114,Winter: June-August
-33.9,115,Autumn: March-May
-37.068671,149.908573,Autumn: March-May
-21.9,114.3,Autumn: March-May
-26.1,113.2,Spring: September-November
-33.5,115,Spring: September-November
-34.606194,150.864786,Winter: June-August
-33.508409,115.219482,Spring: September-November
-32.1,115.6,Spring: September-November
-35.365319,150.490459,Autumn: March-May
-34.265796,150.966005,Autumn: March-May
-27.8,114.1,Spring: September-November
